cue,target,pair,lag_condition,actual_lag,encodingTask,position,computed_lag,lag_ok,window_ok
jam,bread,jam--bread,30,29.0,generate,1,29,True,True
flannel,pajamas,flannel--pajamas,60,59.0,generate,2,59,True,True
sailor,suit,sailor--suit,60,63.0,generate,3,63,True,True
muscle,tissue,muscle--tissue,20,20.0,generate,4,20,True,True
brick,building,brick--building,0,0.0,generate,5,0,True,True
brick,building,brick--building,0,0.0,feedback,6,0,True,True
bowl,rice,bowl--rice,10,9.0,generate,7,9,True,True
pepper,spice,pepper--spice,30,29.0,generate,8,29,True,True
tide,beach,tide--beach,0,0.0,generate,9,0,True,True
tide,beach,tide--beach,0,0.0,feedback,10,0,True,True
parcel,box,parcel--box,60,63.0,generate,11,63,True,True
satin,cloth,satin--cloth,single,,single,12,,True,True
letter,email,letter--email,10,10.0,generate,13,10,True,True
breakfast,bacon,breakfast--bacon,60,59.0,generate,14,59,True,True
lizard,animal,lizard--animal,20,21.0,generate,15,21,True,True
olive,green,olive--green,10,9.0,generate,16,9,True,True
bowl,rice,bowl--rice,10,9.0,feedback,17,9,True,True
pine,forest,pine--forest,0,0.0,generate,18,0,True,True
pine,forest,pine--forest,0,0.0,feedback,19,0,True,True
sauce,gravy,sauce--gravy,30,29.0,generate,20,29,True,True
galaxy,astronomy,galaxy--astronomy,5,5.0,generate,21,5,True,True
knight,hero,knight--hero,10,10.0,generate,22,10,True,True
reunion,hug,reunion--hug,60,60.0,generate,23,60,True,True
letter,email,letter--email,10,10.0,feedback,24,10,True,True
muscle,tissue,muscle--tissue,20,20.0,feedback,25,20,True,True
olive,green,olive--green,10,9.0,feedback,26,9,True,True
galaxy,astronomy,galaxy--astronomy,5,5.0,feedback,27,5,True,True
metal,copper,metal--copper,60,59.0,generate,28,59,True,True
whiskey,beer,whiskey--beer,60,59.0,generate,29,59,True,True
shoe,boot,shoe--boot,30,29.0,generate,30,29,True,True
jam,bread,jam--bread,30,29.0,feedback,31,29,True,True
farmer,cow,farmer--cow,10,10.0,generate,32,10,True,True
knight,hero,knight--hero,10,10.0,feedback,33,10,True,True
poison,venom,poison--venom,60,59.0,generate,34,59,True,True
cents,penny,cents--penny,20,19.0,generate,35,19,True,True
hospital,injury,hospital--injury,5,4.0,generate,36,4,True,True
lizard,animal,lizard--animal,20,21.0,feedback,37,21,True,True
pepper,spice,pepper--spice,30,29.0,feedback,38,29,True,True
parade,street,parade--street,single,,single,39,,True,True
coal,miner,coal--miner,5,5.0,generate,40,5,True,True
hospital,injury,hospital--injury,5,4.0,feedback,41,4,True,True
lab,scientist,lab--scientist,30,30.0,generate,42,30,True,True
farmer,cow,farmer--cow,10,10.0,feedback,43,10,True,True
cake,frosting,cake--frosting,5,4.0,generate,44,4,True,True
octopus,legs,octopus--legs,5,5.0,generate,45,5,True,True
coal,miner,coal--miner,5,5.0,feedback,46,5,True,True
candle,wick,candle--wick,20,20.0,generate,47,20,True,True
award,medal,award--medal,single,,single,48,,True,True
cake,frosting,cake--frosting,5,4.0,feedback,49,4,True,True
sauce,gravy,sauce--gravy,30,29.0,feedback,50,29,True,True
octopus,legs,octopus--legs,5,5.0,feedback,51,5,True,True
gown,night,gown--night,30,30.0,generate,52,30,True,True
jewel,ruby,jewel--ruby,10,9.0,generate,53,9,True,True
radio,news,radio--news,5,4.0,generate,54,4,True,True
cents,penny,cents--penny,20,19.0,feedback,55,19,True,True
chocolate,milk,chocolate--milk,0,0.0,generate,56,0,True,True
chocolate,milk,chocolate--milk,0,0.0,feedback,57,0,True,True
basket,laundry,basket--laundry,single,,single,58,,True,True
radio,news,radio--news,5,4.0,feedback,59,4,True,True
shoe,boot,shoe--boot,30,29.0,feedback,60,29,True,True
kite,wind,kite--wind,20,20.0,generate,61,20,True,True
flannel,pajamas,flannel--pajamas,60,59.0,feedback,62,59,True,True
jewel,ruby,jewel--ruby,10,9.0,feedback,63,9,True,True
prince,crown,prince--crown,30,30.0,generate,64,30,True,True
flea,itch,flea--itch,0,0.0,generate,65,0,True,True
flea,itch,flea--itch,0,0.0,feedback,66,0,True,True
sailor,suit,sailor--suit,60,63.0,feedback,67,63,True,True
candle,wick,candle--wick,20,20.0,feedback,68,20,True,True
violin,orchestra,violin--orchestra,30,28.0,generate,69,28,True,True
stadium,arena,stadium--arena,5,5.0,generate,70,5,True,True
paint,canvas,paint--canvas,20,20.0,generate,71,20,True,True
grape,juice,grape--juice,single,,single,72,,True,True
lab,scientist,lab--scientist,30,30.0,feedback,73,30,True,True
breakfast,bacon,breakfast--bacon,60,59.0,feedback,74,59,True,True
parcel,box,parcel--box,60,63.0,feedback,75,63,True,True
stadium,arena,stadium--arena,5,5.0,feedback,76,5,True,True
dust,desert,dust--desert,0,0.0,generate,77,0,True,True
dust,desert,dust--desert,0,0.0,feedback,78,0,True,True
sink,tub,sink--tub,20,19.0,generate,79,19,True,True
hill,valley,hill--valley,20,19.0,generate,80,19,True,True
cord,plug,cord--plug,10,9.0,generate,81,9,True,True
kite,wind,kite--wind,20,20.0,feedback,82,20,True,True
gown,night,gown--night,30,30.0,feedback,83,30,True,True
reunion,hug,reunion--hug,60,60.0,feedback,84,60,True,True
zebra,lion,zebra--lion,10,10.0,generate,85,10,True,True
guitar,instrument,guitar--instrument,0,0.0,generate,86,0,True,True
guitar,instrument,guitar--instrument,0,0.0,feedback,87,0,True,True
metal,copper,metal--copper,60,59.0,feedback,88,59,True,True
whiskey,beer,whiskey--beer,60,59.0,feedback,89,59,True,True
finger,toe,finger--toe,single,,single,90,,True,True
cord,plug,cord--plug,10,9.0,feedback,91,9,True,True
paint,canvas,paint--canvas,20,20.0,feedback,92,20,True,True
twilight,moon,twilight--moon,single,,single,93,,True,True
poison,venom,poison--venom,60,59.0,feedback,94,59,True,True
prince,crown,prince--crown,30,30.0,feedback,95,30,True,True
zebra,lion,zebra--lion,10,10.0,feedback,96,10,True,True
baseball,club,baseball--club,5,4.0,generate,97,4,True,True
violin,orchestra,violin--orchestra,30,28.0,feedback,98,28,True,True
sink,tub,sink--tub,20,19.0,feedback,99,19,True,True
hill,valley,hill--valley,20,19.0,feedback,100,19,True,True
rail,track,rail--track,single,,single,101,,True,True
baseball,club,baseball--club,5,4.0,feedback,102,4,True,True
moss,grass,moss--grass,0,0.0,generate,103,0,True,True
moss,grass,moss--grass,0,0.0,feedback,104,0,True,True
