cue,target,pair,lag_condition,actual_lag,encodingTask,position
jam,bread,jam--bread,30,29,generate,1
flannel,pajamas,flannel--pajamas,60,59,generate,2
sailor,suit,sailor--suit,60,63,generate,3
muscle,tissue,muscle--tissue,20,20,generate,4
brick,building,brick--building,0,0,generate,5
brick,building,brick--building,0,0,feedback,6
bowl,rice,bowl--rice,10,9,generate,7
pepper,spice,pepper--spice,30,29,generate,8
tide,beach,tide--beach,0,0,generate,9
tide,beach,tide--beach,0,0,feedback,10
parcel,box,parcel--box,60,63,generate,11
satin,cloth,satin--cloth,single,,single,12
letter,email,letter--email,10,10,generate,13
breakfast,bacon,breakfast--bacon,60,59,generate,14
lizard,animal,lizard--animal,20,21,generate,15
olive,green,olive--green,10,9,generate,16
bowl,rice,bowl--rice,10,9,feedback,17
pine,forest,pine--forest,0,0,generate,18
pine,forest,pine--forest,0,0,feedback,19
sauce,gravy,sauce--gravy,30,29,generate,20
galaxy,astronomy,galaxy--astronomy,5,5,generate,21
knight,hero,knight--hero,10,10,generate,22
reunion,hug,reunion--hug,60,60,generate,23
letter,email,letter--email,10,10,feedback,24
muscle,tissue,muscle--tissue,20,20,feedback,25
olive,green,olive--green,10,9,feedback,26
galaxy,astronomy,galaxy--astronomy,5,5,feedback,27
metal,copper,metal--copper,60,59,generate,28
whiskey,beer,whiskey--beer,60,59,generate,29
shoe,boot,shoe--boot,30,29,generate,30
jam,bread,jam--bread,30,29,feedback,31
farmer,cow,farmer--cow,10,10,generate,32
knight,hero,knight--hero,10,10,feedback,33
poison,venom,poison--venom,60,59,generate,34
cents,penny,cents--penny,20,19,generate,35
hospital,injury,hospital--injury,5,4,generate,36
lizard,animal,lizard--animal,20,21,feedback,37
pepper,spice,pepper--spice,30,29,feedback,38
parade,street,parade--street,single,,single,39
coal,miner,coal--miner,5,5,generate,40
hospital,injury,hospital--injury,5,4,feedback,41
lab,scientist,lab--scientist,30,30,generate,42
farmer,cow,farmer--cow,10,10,feedback,43
cake,frosting,cake--frosting,5,4,generate,44
octopus,legs,octopus--legs,5,5,generate,45
coal,miner,coal--miner,5,5,feedback,46
candle,wick,candle--wick,20,20,generate,47
award,medal,award--medal,single,,single,48
cake,frosting,cake--frosting,5,4,feedback,49
sauce,gravy,sauce--gravy,30,29,feedback,50
octopus,legs,octopus--legs,5,5,feedback,51
gown,night,gown--night,30,30,generate,52
jewel,ruby,jewel--ruby,10,9,generate,53
radio,news,radio--news,5,4,generate,54
cents,penny,cents--penny,20,19,feedback,55
chocolate,milk,chocolate--milk,0,0,generate,56
chocolate,milk,chocolate--milk,0,0,feedback,57
basket,laundry,basket--laundry,single,,single,58
radio,news,radio--news,5,4,feedback,59
shoe,boot,shoe--boot,30,29,feedback,60
kite,wind,kite--wind,20,20,generate,61
flannel,pajamas,flannel--pajamas,60,59,feedback,62
jewel,ruby,jewel--ruby,10,9,feedback,63
prince,crown,prince--crown,30,30,generate,64
flea,itch,flea--itch,0,0,generate,65
flea,itch,flea--itch,0,0,feedback,66
sailor,suit,sailor--suit,60,63,feedback,67
candle,wick,candle--wick,20,20,feedback,68
violin,orchestra,violin--orchestra,30,28,generate,69
stadium,arena,stadium--arena,5,5,generate,70
paint,canvas,paint--canvas,20,20,generate,71
grape,juice,grape--juice,single,,single,72
lab,scientist,lab--scientist,30,30,feedback,73
breakfast,bacon,breakfast--bacon,60,59,feedback,74
parcel,box,parcel--box,60,63,feedback,75
stadium,arena,stadium--arena,5,5,feedback,76
dust,desert,dust--desert,0,0,generate,77
dust,desert,dust--desert,0,0,feedback,78
sink,tub,sink--tub,20,19,generate,79
hill,valley,hill--valley,20,19,generate,80
cord,plug,cord--plug,10,9,generate,81
kite,wind,kite--wind,20,20,feedback,82
gown,night,gown--night,30,30,feedback,83
reunion,hug,reunion--hug,60,60,feedback,84
zebra,lion,zebra--lion,10,10,generate,85
guitar,instrument,guitar--instrument,0,0,generate,86
guitar,instrument,guitar--instrument,0,0,feedback,87
metal,copper,metal--copper,60,59,feedback,88
whiskey,beer,whiskey--beer,60,59,feedback,89
finger,toe,finger--toe,single,,single,90
cord,plug,cord--plug,10,9,feedback,91
paint,canvas,paint--canvas,20,20,feedback,92
twilight,moon,twilight--moon,single,,single,93
poison,venom,poison--venom,60,59,feedback,94
prince,crown,prince--crown,30,30,feedback,95
zebra,lion,zebra--lion,10,10,feedback,96
baseball,club,baseball--club,5,4,generate,97
violin,orchestra,violin--orchestra,30,28,feedback,98
sink,tub,sink--tub,20,19,feedback,99
hill,valley,hill--valley,20,19,feedback,100
rail,track,rail--track,single,,single,101
baseball,club,baseball--club,5,4,feedback,102
moss,grass,moss--grass,0,0,generate,103
moss,grass,moss--grass,0,0,feedback,104
